Country,Commodity,Profit,Measure
All,All,1603472000000,$
All,Non-food manufactured goods,403154000000,$
All,"Milk powder, butter, and cheese",98757000000,$
All,Mechanical machinery and equip,57567000000,$
All,Meat and edible offal,51206000000,$
Australia,All,107686000000,$
China,All,182406000000,$
China,"Milk powder, butter, and cheese",31216000000,$
China,"Logs, wood, and wood articles",17993000000,$
China,Electrical machinery and equip,16478000000,$
China,Meat and edible offal,15463000000,$
East Asia (excluding China),All,89245000000,$
East Asia (excluding China),"Milk powder, butter, and cheese",27311000000,$
European Union (27),All,26644000000,$
Japan,All,23155000000,$
Total (excluding China),All,291991000000,$
United Kingdom,All,21591000000,$
United States,All,40477000000,$
United States,Meat and edible offal,11843000000,$
All,"Logs, wood, and wood articles",154650000,Tonnes
All,"Milk powder, butter, and cheese",22118000,Tonnes
All,Meat and edible offal,6749000,Tonnes
All,"Fish, crustaceans, and molluscs",1832000,Tonnes
China,"Logs, wood, and wood articles",109752000,Tonnes
China,"Milk powder, butter, and cheese",7536000,Tonnes
China,Meat and edible offal,2285000,Tonnes
East Asia (excluding China),"Milk powder, butter, and cheese",6137000,Tonnes
United States,Meat and edible offal,1338000,Tonnes
