Profit,Commodity,Measure
2386667000000,All,$
51554000000,Electrical machinery and equip,$
15445000000,"Fish, crustaceans, and molluscs",$
22197000000,Fruit,$
50381000000,"Logs, wood, and wood articles",$
78512000000,Meat and edible offal,$
72603000000,Mechanical machinery and equip,$
157284000000,"Milk powder, butter, and cheese",$
403154000000,Non-food manufactured goods,$
1832000,"Fish, crustaceans, and molluscs",Tonnes
264402000,"Logs, wood, and wood articles",Tonnes
10372000,Meat and edible offal,Tonnes
35791000,"Milk powder, butter, and cheese",Tonnes
